commodity,arrival_date,variety,state,district,min_price,max_price,avg_price
Brinjal,19-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,18-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,15-03-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,14-03-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,13-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,12-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,11-03-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,12-08-2024,Brinjal,Karnataka,Udupi,2000,3000,2500
Brinjal,06-08-2024,Brinjal,Karnataka,Udupi,2000,3500,3000
Brinjal,05-08-2024,Brinjal,Karnataka,Udupi,2000,3500,3000
Brinjal,29-07-2024,Brinjal,Karnataka,Udupi,3900,4000,4000
Brinjal,23-07-2024,Brinjal,Karnataka,Udupi,7900,8000,8000
Brinjal,22-07-2024,Brinjal,Karnataka,Udupi,7900,8000,8000
Brinjal,20-07-2024,Brinjal,Karnataka,Udupi,7900,8000,8000
Brinjal,18-07-2024,Brinjal,Karnataka,Udupi,7900,8000,8000
Brinjal,15-07-2024,Brinjal,Karnataka,Udupi,3000,4500,4000
Brinjal,12-07-2024,Brinjal,Karnataka,Udupi,3000,4500,4000
Brinjal,09-07-2024,Brinjal,Karnataka,Udupi,3500,5000,4500
Brinjal,08-07-2024,Brinjal,Karnataka,Udupi,3500,5000,4500
Brinjal,06-07-2024,Brinjal,Karnataka,Udupi,3500,5000,4500
Brinjal,05-07-2024,Brinjal,Karnataka,Udupi,3500,5000,4500
Brinjal,01-07-2024,Brinjal,Karnataka,Udupi,5900,6000,6000
Brinjal,28-06-2024,Brinjal,Karnataka,Udupi,5900,6000,6000
Brinjal,25-06-2024,Brinjal,Karnataka,Udupi,3000,6000,4000
Brinjal,15-06-2024,Brinjal,Karnataka,Udupi,5900,6000,6000
Brinjal,11-06-2024,Brinjal,Karnataka,Udupi,5900,6000,6000
Brinjal,10-06-2024,Brinjal,Karnataka,Udupi,5900,6000,6000
Brinjal,07-06-2024,Brinjal,Karnataka,Udupi,5900,6000,6000
Brinjal,04-06-2024,Brinjal,Karnataka,Udupi,4900,5000,5000
Brinjal,01-06-2024,Brinjal,Karnataka,Udupi,4900,5000,5000
Brinjal,28-05-2024,Brinjal,Karnataka,Udupi,2500,5000,3500
Brinjal,27-05-2024,Brinjal,Karnataka,Udupi,2500,5000,3500
Brinjal,24-05-2024,Brinjal,Karnataka,Udupi,2500,5000,3500
Brinjal,14-05-2024,Brinjal,Karnataka,Udupi,7900,8000,8000
Brinjal,04-05-2024,Brinjal,Karnataka,Udupi,2500,3000,2800
Brinjal,29-04-2024,Brinjal,Karnataka,Udupi,3900,4000,4000
Brinjal,17-04-2024,Brinjal,Karnataka,Udupi,4900,5000,5000
Brinjal,17-04-2024,Brinjal,Karnataka,Udupi,4900,5000,5000
Brinjal,16-04-2024,Brinjal,Karnataka,Udupi,2500,3500,3000
Brinjal,15-04-2024,Brinjal,Karnataka,Udupi,2500,3500,3000
Brinjal,15-04-2024,Brinjal,Karnataka,Udupi,2500,3500,3000
Brinjal,06-04-2024,Brinjal,Karnataka,Udupi,2000,3000,2500
Brinjal,06-04-2024,Brinjal,Karnataka,Udupi,2000,3000,2500
Brinjal,02-04-2024,Brinjal,Karnataka,Udupi,2900,3000,3000
Brinjal,01-04-2024,Brinjal,Karnataka,Udupi,2900,3000,3000
Brinjal,30-03-2024,Brinjal,Karnataka,Udupi,2900,3000,3000
Brinjal,26-03-2024,Brinjal,Karnataka,Udupi,3900,4000,4000
Cabbage,04-09-2024,Cabbage,Karnataka,Chikmagalur,1588,1588,1588
Cabbage,28-08-2024,Cabbage,Karnataka,Chikmagalur,834,834,834
Cabbage,26-08-2024,Cabbage,Karnataka,Chikmagalur,926,926,926
Cabbage,23-08-2024,Cabbage,Karnataka,Chikmagalur,926,926,926
Cabbage,20-08-2024,Cabbage,Karnataka,Chikmagalur,834,834,834
Cabbage,13-08-2024,Cabbage,Karnataka,Chikmagalur,1515,1515,1515
Cabbage,05-08-2024,Cabbage,Karnataka,Chikmagalur,981,981,981
Cabbage,03-08-2024,Cabbage,Karnataka,Chikmagalur,1389,1389,1389
Cabbage,29-07-2024,Cabbage,Karnataka,Chikmagalur,1471,1471,1471
Cabbage,22-07-2024,Cabbage,Karnataka,Chikmagalur,1316,1316,1316
Cabbage,15-07-2024,Cabbage,Karnataka,Chikmagalur,1350,1550,1450
Cabbage,11-07-2024,Cabbage,Karnataka,Chikmagalur,1667,1667,1667
Cabbage,10-07-2024,Cabbage,Karnataka,Chikmagalur,1667,1667,1667
Cabbage,08-07-2024,Cabbage,Karnataka,Chikmagalur,1588,1588,1588
Cabbage,06-07-2024,Cabbage,Karnataka,Chikmagalur,1488,1488,1488
Cabbage,02-07-2024,Cabbage,Karnataka,Chikmagalur,1588,1588,1588
Cabbage,28-06-2024,Cabbage,Karnataka,Chikmagalur,1515,1515,1515
Cabbage,21-06-2024,Cabbage,Karnataka,Chikmagalur,1984,1984,1984
Cabbage,15-06-2024,Cabbage,Karnataka,Chikmagalur,1449,1449,1449
Cabbage,12-06-2024,Cabbage,Karnataka,Chikmagalur,1450,1450,1450
Cabbage,10-06-2024,Cabbage,Karnataka,Chikmagalur,1515,1515,1515
Cabbage,03-06-2024,Cabbage,Karnataka,Chikmagalur,2000,2000,2000
Cabbage,31-05-2024,Cabbage,Karnataka,Chikmagalur,1423,1423,1423
Cabbage,29-05-2024,Cabbage,Karnataka,Chikmagalur,1289,1489,1389
Cabbage,22-05-2024,Cabbage,Karnataka,Chikmagalur,1588,1588,1588
Cabbage,08-05-2024,Cabbage,Karnataka,Chikmagalur,834,834,834
Cabbage,03-05-2024,Cabbage,Karnataka,Chikmagalur,1587,1587,1587
Cabbage,08-04-2024,Cabbage,Karnataka,Chikmagalur,1362,1562,1462
Cabbage,05-04-2024,Cabbage,Karnataka,Chikmagalur,1563,1563,1563
Cabbage,30-03-2024,Cabbage,Karnataka,Chikmagalur,1350,1550,1450
Cabbage,04-09-2024,Cabbage,Karnataka,Shimoga,2800,3000,2900
Cabbage,03-09-2024,Cabbage,Karnataka,Shimoga,2800,3000,2900
Cabbage,02-09-2024,Cabbage,Karnataka,Shimoga,2800,3000,2900
Cabbage,30-08-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,26-08-2024,Cabbage,Karnataka,Shimoga,2800,3000,2900
Cabbage,23-08-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,22-08-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,20-08-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,19-08-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,16-08-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,14-08-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,13-08-2024,Cabbage,Karnataka,Shimoga,7800,8000,7900
Cabbage,12-08-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,09-08-2024,Cabbage,Karnataka,Shimoga,7800,8000,7900
Cabbage,08-08-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,07-08-2024,Cabbage,Karnataka,Shimoga,7800,8000,7900
Cabbage,06-08-2024,Cabbage,Karnataka,Shimoga,7800,8000,7900
Cabbage,01-08-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,30-07-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,29-07-2024,Cabbage,Karnataka,Shimoga,3800,4000,3900
Cabbage,26-07-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,25-07-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,24-07-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,23-07-2024,Cabbage,Karnataka,Shimoga,1000,1200,1100
Cabbage,22-07-2024,Cabbage,Karnataka,Shimoga,6800,7000,6900
Cabbage,19-07-2024,Cabbage,Karnataka,Shimoga,3800,4000,3900
Cabbage,18-07-2024,Cabbage,Karnataka,Shimoga,2400,2600,2500
Cabbage,16-07-2024,Cabbage,Karnataka,Shimoga,1300,1500,1400
Cabbage,15-07-2024,Cabbage,Karnataka,Shimoga,1000,1500,1250
Cabbage,12-07-2024,Cabbage,Karnataka,Shimoga,1200,1500,1350
Cabbage,11-07-2024,Cabbage,Karnataka,Shimoga,1000,1200,1100
Cabbage,10-07-2024,Cabbage,Karnataka,Shimoga,1000,1200,1100
Cabbage,09-07-2024,Cabbage,Karnataka,Shimoga,1200,1600,1400
Cabbage,05-07-2024,Cabbage,Karnataka,Shimoga,2500,3500,3000
Cabbage,03-07-2024,Cabbage,Karnataka,Shimoga,2000,3000,2500
Cabbage,29-05-2024,Cabbage,Karnataka,Shimoga,3000,5000,4000
Cabbage,17-04-2024,Cabbage,Karnataka,Shimoga,2400,2600,2500
Cabbage,17-04-2024,Cabbage,Karnataka,Shimoga,2400,2600,2500
Cabbage,16-04-2024,Cabbage,Karnataka,Shimoga,2800,3000,2900
Cabbage,15-04-2024,Cabbage,Karnataka,Shimoga,2400,2600,2500
Cabbage,15-04-2024,Cabbage,Karnataka,Shimoga,2400,2600,2500
Cabbage,05-04-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,04-04-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,04-04-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,03-04-2024,Cabbage,Karnataka,Shimoga,4800,5000,4900
Cabbage,02-04-2024,Cabbage,Karnataka,Shimoga,1400,1600,1500
Cabbage,01-04-2024,Cabbage,Karnataka,Shimoga,1400,1600,1500
Cabbage,30-03-2024,Cabbage,Karnataka,Shimoga,1400,1600,1500
Cabbage,28-03-2024,Cabbage,Karnataka,Shimoga,1400,1600,1500
Cabbage,27-03-2024,Cabbage,Karnataka,Shimoga,1400,1600,1500
Cabbage,26-03-2024,Cabbage,Karnataka,Shimoga,1800,2000,1900
Cabbage,25-03-2024,Cabbage,Karnataka,Shimoga,7800,8000,7900
Cabbage,22-03-2024,Cabbage,Karnataka,Shimoga,1400,1600,1500
Cabbage,21-03-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,20-03-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,19-03-2024,Cabbage,Karnataka,Shimoga,1200,1400,1300
Cabbage,18-03-2024,Cabbage,Karnataka,Shimoga,5800,6000,5900
Cabbage,15-03-2024,Cabbage,Karnataka,Shimoga,1800,2000,1900
Cabbage,14-03-2024,Cabbage,Karnataka,Shimoga,6800,7000,6900
Cabbage,13-03-2024,Cabbage,Karnataka,Shimoga,1800,2000,1900
Cabbage,13-08-2024,Cabbage,Karnataka,Udupi,1400,1500,1500
Cabbage,12-08-2024,Cabbage,Karnataka,Udupi,1400,1500,1500
Cabbage,06-08-2024,Cabbage,Karnataka,Udupi,1400,1500,1500
Cabbage,05-08-2024,Cabbage,Karnataka,Udupi,1400,1500,1500
Cabbage,30-07-2024,Cabbage,Karnataka,Udupi,1500,1600,1600
Cabbage,29-07-2024,Cabbage,Karnataka,Udupi,1500,1600,1600
Cabbage,23-07-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,22-07-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,18-07-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,16-07-2024,Cabbage,Karnataka,Udupi,3000,4000,3500
Cabbage,15-07-2024,Cabbage,Karnataka,Udupi,3000,4000,3500
Cabbage,12-07-2024,Cabbage,Karnataka,Udupi,3000,4000,3500
Cabbage,09-07-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,08-07-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,05-07-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,04-07-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,01-07-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,28-06-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,25-06-2024,Cabbage,Karnataka,Udupi,4400,4500,4500
Cabbage,24-06-2024,Cabbage,Karnataka,Udupi,4400,4500,4500
Cabbage,15-06-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,11-06-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,10-06-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,07-06-2024,Cabbage,Karnataka,Udupi,4900,5000,5000
Cabbage,04-06-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,01-06-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,28-05-2024,Cabbage,Karnataka,Udupi,2500,2600,2600
Cabbage,27-05-2024,Cabbage,Karnataka,Udupi,2500,2600,2600
Cabbage,24-05-2024,Cabbage,Karnataka,Udupi,2500,2600,2600
Cabbage,17-05-2024,Cabbage,Karnataka,Udupi,3400,3500,3500
Cabbage,14-05-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,04-05-2024,Cabbage,Karnataka,Udupi,2900,3000,3000
Cabbage,29-04-2024,Cabbage,Karnataka,Udupi,1900,2000,2000
Cabbage,17-04-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,17-04-2024,Cabbage,Karnataka,Udupi,3900,4000,4000
Cabbage,16-04-2024,Cabbage,Karnataka,Udupi,1800,2000,1900
Cabbage,15-04-2024,Cabbage,Karnataka,Udupi,1800,2000,1900
Cabbage,15-04-2024,Cabbage,Karnataka,Udupi,1800,2000,1900
Cabbage,08-04-2024,Cabbage,Karnataka,Udupi,2100,2200,2200
Cabbage,02-04-2024,Cabbage,Karnataka,Udupi,2900,3000,3000
Cabbage,01-04-2024,Cabbage,Karnataka,Udupi,2900,3000,3000
Cabbage,30-03-2024,Cabbage,Karnataka,Udupi,2900,3000,3000
Cabbage,26-03-2024,Cabbage,Karnataka,Udupi,2900,3000,3000
Cabbage,25-03-2024,Cabbage,Karnataka,Udupi,2900,3000,3000
Cabbage,22-03-2024,Cabbage,Karnataka,Udupi,2900,3000,3000
Cabbage,19-03-2024,Cabbage,Karnataka,Udupi,1900,2000,2000
Cabbage,18-03-2024,Cabbage,Karnataka,Udupi,1900,2000,2000
Cabbage,16-03-2024,Cabbage,Karnataka,Udupi,1900,2000,2000
Cabbage,15-03-2024,Cabbage,Karnataka,Udupi,1900,2000,2000
Cabbage,12-03-2024,Cabbage,Karnataka,Udupi,2100,2200,2200
Green Chilli,28/08/2024,Green Chilly,Karnataka,Davangere,2200,3500,2700
Green Chilli,27/08/2024,Green Chilly,Karnataka,Davangere,2400,3500,2700
Green Chilli,22/08/2024,Green Chilly,Karnataka,Davangere,2400,3500,2600
Green Chilli,20/08/2024,Green Chilly,Karnataka,Davangere,2200,3500,2500
Green Chilli,17/08/2024,Green Chilly,Karnataka,Davangere,2400,3500,2800
Green Chilli,16/08/2024,Green Chilly,Karnataka,Davangere,2500,3500,3000
Green Chilli,14/08/2024,Green Chilly,Karnataka,Davangere,2600,3500,2800
Green Chilli,13/08/2024,Green Chilly,Karnataka,Davangere,2600,3500,2800
Green Chilli,09/08/2024,Green Chilly,Karnataka,Davangere,2600,3500,3000
Green Chilli,08/08/2024,Green Chilly,Karnataka,Davangere,2600,3500,3000
Green Chilli,07/08/2024,Green Chilly,Karnataka,Davangere,2400,3500,2600
Green Chilli,06/08/2024,Green Chilly,Karnataka,Davangere,3000,3500,3000
Green Chilli,03/08/2024,Green Chilly,Karnataka,Davangere,2500,3500,2800
Green Chilli,31/07/2024,Green Chilly,Karnataka,Davangere,3500,3500,3800
Green Chilli,30/07/2024,Green Chilly,Karnataka,Davangere,3000,3500,3500
Green Chilli,26/07/2024,Green Chilly,Karnataka,Davangere,3000,3500,3500
Green Chilli,25/07/2024,Green Chilly,Karnataka,Davangere,3000,3500,3500
Green Chilli,24/07/2024,Green Chilly,Karnataka,Davangere,3000,3500,3500
Green Chilli,23/07/2024,Green Chilly,Karnataka,Davangere,3500,3500,4000
Green Chilli,20/07/2024,Green Chilly,Karnataka,Davangere,3500,3500,4000
Green Chilli,19/07/2024,Green Chilly,Karnataka,Davangere,3200,3500,3600
Green Chilli,18/07/2024,Green Chilly,Karnataka,Davangere,3600,3500,4000
Green Chilli,16/07/2024,Green Chilly,Karnataka,Davangere,3500,3500,4000
Green Chilli,12/07/2024,Green Chilly,Karnataka,Davangere,3800,3500,4300
Green Chilli,11/07/2024,Green Chilly,Karnataka,Davangere,3800,3500,4400
Green Chilli,10/07/2024,Green Chilly,Karnataka,Davangere,3500,3500,4000
Green Chilli,09/07/2024,Green Chilly,Karnataka,Davangere,3500,3500,3800
Green Chilli,06/07/2024,Green Chilly,Karnataka,Davangere,3600,3500,3800
Green Chilli,03/07/2024,Green Chilly,Karnataka,Davangere,3800,3500,4000
Green Chilli,02/07/2024,Green Chilly,Karnataka,Davangere,3800,3500,4000
Green Chilli,29/06/2024,Green Chilly,Karnataka,Davangere,4000,3500,4500
Green Chilli,27/06/2024,Green Chilly,Karnataka,Davangere,4000,3500,4500
Green Chilli,26/06/2024,Green Chilly,Karnataka,Davangere,5000,3500,5000
Green Chilli,26/06/2024,Green Chilly,Karnataka,Davangere,4500,3500,5000
Green Chilli,25/06/2024,Green Chilly,Karnataka,Davangere,4000,3500,4500
Green Chilli,21/06/2024,Green Chilly,Karnataka,Davangere,4000,3500,4500
Green Chilli,15/06/2024,Green Chilly,Karnataka,Davangere,4000,3500,4500
Green Chilli,14/06/2024,Green Chilly,Karnataka,Davangere,3800,3500,4200
Green Chilli,13/06/2024,Green Chilly,Karnataka,Davangere,3500,3500,4000
Green Chilli,12/06/2024,Green Chilly,Karnataka,Davangere,4000,3500,4500
Green Chilli,11/06/2024,Green Chilly,Karnataka,Davangere,3800,3500,4400
Green Chilli,11/06/2024,Green Chilly,Karnataka,Davangere,5000,3500,5000
Green Chilli,07/06/2024,Green Chilly,Karnataka,Davangere,3800,3500,4300
Green Chilli,06/06/2024,Green Chilly,Karnataka,Davangere,3800,3500,4200
Green Chilli,05/06/2024,Green Chilly,Karnataka,Davangere,3800,3500,4200
Green Chilli,04/06/2024,Green Chilly,Karnataka,Davangere,3800,3500,4200
Green Chilli,01/06/2024,Green Chilly,Karnataka,Davangere,3800,3500,4000
Green Chilli,31/05/2024,Green Chilly,Karnataka,Davangere,3800,3500,4200
Green Chilli,31/05/2024,Green Chilly,Karnataka,Davangere,5000,3500,5000
Green Chilli,30/05/2024,Green Chilly,Karnataka,Davangere,3600,3500,4000
Green Chilli,29/05/2024,Green Chilly,Karnataka,Davangere,3800,3500,4000
Green Chilli,28/05/2024,Green Chilly,Karnataka,Davangere,3800,3500,4400
Green Chilli,24/05/2024,Green Chilly,Karnataka,Davangere,3800,3500,4200
Green Chilli,22/05/2024,Green Chilly,Karnataka,Davangere,3800,3500,4200
Green Chilli,21/05/2024,Green Chilly,Karnataka,Davangere,3500,3500,4000
Green Chilli,17/05/2024,Green Chilly,Karnataka,Davangere,3600,3500,4000
Green Chilli,16/05/2024,Green Chilly,Karnataka,Davangere,3600,3500,4000
Green Chilli,15/05/2024,Green Chilly,Karnataka,Davangere,3200,3500,3600
Green Chilli,14/05/2024,Green Chilly,Karnataka,Davangere,3800,3500,4000
Green Chilli,04/05/2024,Green Chilly,Karnataka,Davangere,3600,3500,4000
Green Chilli,06/04/2024,Green Chilly,Karnataka,Davangere,3000,3500,3500
Green Chilli,05/04/2024,Green Chilly,Karnataka,Davangere,3000,3500,3500
Green Chilli,04/04/2024,Green Chilly,Karnataka,Davangere,3500,3500,4000
Green Chilli,04/04/2024,Green Chilly,Karnataka,Davangere,4000,3500,4000
Green Chilli,03/04/2024,Green Chilly,Karnataka,Davangere,3000,3500,3500
Green Chilli,02/04/2024,Green Chilly,Karnataka,Davangere,3000,3500,3500
Green Chilli,30/03/2024,Green Chilly,Karnataka,Davangere,3000,3500,3600
